

  **** Partial wave analysis (DPWA0) ******************************************


  Kinetic energy = 1.00000E+07 eV

      L       Phase(spin UP)     Phase(spin DOWN)
    1100      6.79307480E-03      6.79860347E-03  i
    1120      6.67821095E-03      6.68361680E-03  i
    1140      6.56588357E-03      6.57117069E-03  i
    1160      6.45600865E-03      6.46118095E-03  i
    1180      6.34850636E-03      6.35356755E-03  i
    1200      6.24330076E-03      6.24825436E-03  i
    1250      5.98986845E-03      5.99456746E-03  i
    1300      5.74930622E-03      5.75376933E-03  i
    1350      5.52068589E-03      5.52492981E-03  i
    1400      5.30317622E-03      5.30721596E-03  i
    1450      5.09602952E-03      5.09987860E-03  i
    1500      4.89857041E-03      4.90224105E-03  i
    1550      4.71018649E-03      4.71368981E-03  i
    1600      4.53032048E-03      4.53366663E-03  i
    1650      4.35846359E-03      4.36166182E-03  i
    1700      4.19414979E-03      4.19720860E-03  i
    1750      4.03695104E-03      4.03987824E-03  i
    1800      3.88647306E-03      3.88927587E-03  i
    1850      3.74235176E-03      3.74503685E-03  i
    1900      3.60425016E-03      3.60682370E-03  i
    1950      3.47185560E-03      3.47432332E-03  i
    2000      3.34487740E-03      3.34724465E-03  i
    2050      3.22304481E-03      3.22531656E-03  i
    2100      3.10610510E-03      3.10828601E-03  i
    2150      2.99382201E-03      2.99591643E-03  i
    2200      2.88597428E-03      2.88798628E-03  i
    2250      2.78235436E-03      2.78428777E-03  i
    2300      2.68276729E-03      2.68462571E-03  i
    2350      2.58702968E-03      2.58881650E-03  i
    2400      2.49496880E-03      2.49668721E-03  i
    2450      2.40642172E-03      2.40807474E-03  i
    2500      2.32123464E-03      2.32282510E-03  i
    2550      2.23926214E-03      2.24079274E-03  i
    2600      2.16036663E-03      2.16183993E-03  i
    2650      2.08441779E-03      2.08583620E-03  i
    2700      2.01129206E-03      2.01265786E-03  i
    2750      1.94087218E-03      1.94218755E-03  i
    2800      1.87304679E-03      1.87431380E-03  i
    2850      1.80771002E-03      1.80893063E-03  i
    2900      1.74476117E-03      1.74593726E-03  i
    2950      1.68410440E-03      1.68523773E-03  i
    3000      1.62564837E-03      1.62674066E-03  i
    3100      1.51499440E-03      1.51600937E-03  i
    3200      1.41214976E-03      1.41309331E-03  i
    3300      1.31652221E-03      1.31739972E-03  i
    3400      1.22757059E-03      1.22838699E-03  i
    3500      1.14479953E-03      1.14555933E-03  i
    3600      1.06775473E-03      1.06846207E-03  i
    3700      9.96018950E-04      9.96677643E-04  i
    3800      9.29208432E-04      9.29821978E-04  i
    3900      8.66969762E-04      8.67541389E-04  i
    4000      8.08977087E-04      8.09509774E-04  i
    4100      7.54929648E-04      7.55426144E-04  i
    4200      7.04549576E-04      7.05012424E-04  i
    4300      6.57579923E-04      6.58011474E-04  i
    4400      6.13782893E-04      6.14185324E-04  i
    4500      5.72938250E-04      5.73313579E-04  i
    4600      5.34841884E-04      5.35191981E-04  i
    4700      4.99304514E-04      4.99631113E-04  i
