

  **** Partial wave analysis (DPWAI0) ******************************************


  Kinetic energy = 1.00000E+06 eV

              --------- Spin UP ---------      -------- Spin DOWN --------
      L         Re(phase)      Im(phase)         Re(phase)      Im(phase)
  1.750E+01 5.30776E-24  0.000E+00 ( 2.286E-12, 1.613E-13) ( 2.312E-13, 1.628E-14)  1.00E-07
  1.775E+01 5.01442E-24  0.000E+00 ( 2.222E-12, 1.573E-13) ( 2.279E-13, 1.610E-14)  1.00E-07
  1.800E+01 4.74103E-24  0.000E+00 ( 2.160E-12, 1.534E-13) ( 2.247E-13, 1.592E-14)  1.00E-07
  1.825E+01 4.48600E-24  0.000E+00 ( 2.101E-12, 1.496E-13) ( 2.216E-13, 1.574E-14)  1.00E-07
  1.850E+01 4.24787E-24  0.000E+00 ( 2.044E-12, 1.459E-13) ( 2.185E-13, 1.556E-14)  1.00E-07
  1.875E+01 4.02531E-24  0.000E+00 ( 1.990E-12, 1.424E-13) ( 2.156E-13, 1.540E-14)  1.00E-07
  1.900E+01 3.81712E-24  0.000E+00 ( 1.937E-12, 1.391E-13) ( 2.127E-13, 1.523E-14)  1.00E-07
  1.925E+01 3.62219E-24  0.000E+00 ( 1.887E-12, 1.358E-13) ( 2.099E-13, 1.507E-14)  1.00E-07
  1.950E+01 3.43953E-24  0.000E+00 ( 1.838E-12, 1.327E-13) ( 2.071E-13, 1.492E-14)  1.00E-07
  1.975E+01 3.26822E-24  0.000E+00 ( 1.791E-12, 1.297E-13) ( 2.045E-13, 1.476E-14)  1.00E-07
  2.000E+01 3.10742E-24  0.000E+00 ( 1.747E-12, 1.267E-13) ( 2.019E-13, 1.461E-14)  1.00E-07
  2.025E+01 2.95638E-24  0.000E+00 ( 1.703E-12, 1.239E-13) ( 1.993E-13, 1.446E-14)  1.00E-07
  2.050E+01 2.81439E-24  0.000E+00 ( 1.662E-12, 1.212E-13) ( 1.968E-13, 1.432E-14)  1.00E-07
  2.075E+01 2.68080E-24  0.000E+00 ( 1.621E-12, 1.185E-13) ( 1.944E-13, 1.417E-14)  1.00E-07
  2.100E+01 2.55503E-24  0.000E+00 ( 1.583E-12, 1.160E-13) ( 1.921E-13, 1.403E-14)  1.00E-07
  2.125E+01 2.43654E-24  0.000E+00 ( 1.545E-12, 1.135E-13) ( 1.897E-13, 1.390E-14)  1.00E-07
  2.150E+01 2.32483E-24  0.000E+00 ( 1.509E-12, 1.111E-13) ( 1.875E-13, 1.377E-14)  1.00E-07
  2.175E+01 2.21943E-24  0.000E+00 ( 1.474E-12, 1.088E-13) ( 1.853E-13, 1.364E-14)  1.00E-07
  2.200E+01 2.11993E-24  0.000E+00 ( 1.440E-12, 1.066E-13) ( 1.831E-13, 1.351E-14)  1.00E-07
  2.225E+01 2.02592E-24  0.000E+00 ( 1.408E-12, 1.044E-13) ( 1.810E-13, 1.338E-14)  1.00E-07
  2.250E+01 1.93706E-24  0.000E+00 ( 1.376E-12, 1.023E-13) ( 1.790E-13, 1.326E-14)  1.00E-07
  2.275E+01 1.85301E-24  0.000E+00 ( 1.346E-12, 1.002E-13) ( 1.769E-13, 1.314E-14)  1.00E-07
  2.300E+01 1.77346E-24  0.000E+00 ( 1.316E-12, 9.826E-14) ( 1.750E-13, 1.302E-14)  1.00E-07
  2.325E+01 1.69812E-24  0.000E+00 ( 1.288E-12, 9.634E-14) ( 1.730E-13, 1.290E-14)  1.00E-07
  2.350E+01 1.62673E-24  0.000E+00 ( 1.260E-12, 9.448E-14) ( 1.712E-13, 1.279E-14)  1.00E-07
  2.375E+01 1.55904E-24  0.000E+00 ( 1.234E-12, 9.265E-14) ( 1.693E-13, 1.267E-14)  1.00E-07
  2.400E+01 1.49483E-24  0.000E+00 ( 1.208E-12, 9.088E-14) ( 1.675E-13, 1.256E-14)  1.00E-07
  2.425E+01 1.43388E-24  0.000E+00 ( 1.183E-12, 8.919E-14) ( 1.657E-13, 1.245E-14)  1.00E-07
  2.450E+01 1.37600E-24  0.000E+00 ( 1.158E-12, 8.753E-14) ( 1.640E-13, 1.235E-14)  1.00E-07
  2.475E+01 1.32100E-24  0.000E+00 ( 1.135E-12, 8.589E-14) ( 1.623E-13, 1.224E-14)  1.00E-07
  2.500E+01 1.26871E-24  0.000E+00 ( 1.112E-12, 8.432E-14) ( 1.606E-13, 1.214E-14)  1.00E-07
  2.550E+01 1.17166E-24  0.000E+00 ( 1.068E-12, 8.132E-14) ( 1.573E-13, 1.194E-14)  1.00E-07
  2.600E+01 1.08368E-24  0.000E+00 ( 1.026E-12, 7.846E-14) ( 1.542E-13, 1.174E-14)  1.00E-07
  2.650E+01 1.00378E-24  0.000E+00 ( 9.874E-13, 7.575E-14) ( 1.512E-13, 1.156E-14)  1.00E-07
  2.700E+01 9.31094E-25  0.000E+00 ( 9.506E-13, 7.319E-14) ( 1.483E-13, 1.137E-14)  1.00E-07
  2.750E+01 8.64843E-25  0.000E+00 ( 9.157E-13, 7.074E-14) ( 1.455E-13, 1.120E-14)  1.00E-07
  2.800E+01 8.04362E-25  0.000E+00 ( 8.827E-13, 6.842E-14) ( 1.428E-13, 1.102E-14)  1.00E-07
  2.850E+01 7.49060E-25  0.000E+00 ( 8.514E-13, 6.622E-14) ( 1.402E-13, 1.086E-14)  1.00E-07
  2.900E+01 6.98410E-25  0.000E+00 ( 8.217E-13, 6.411E-14) ( 1.377E-13, 1.070E-14)  1.00E-07
  2.950E+01 6.51957E-25  0.000E+00 ( 7.935E-13, 6.212E-14) ( 1.353E-13, 1.054E-14)  1.00E-07
  3.000E+01 6.09285E-25  0.000E+00 ( 7.667E-13, 6.020E-14) ( 1.329E-13, 1.039E-14)  1.00E-07
  3.050E+01 5.70034E-25  0.000E+00 ( 7.413E-13, 5.838E-14) ( 1.306E-13, 1.024E-14)  1.00E-07
  3.100E+01 5.33879E-25  0.000E+00 ( 7.170E-13, 5.663E-14) ( 1.284E-13, 1.010E-14)  1.00E-07
  3.150E+01 5.00533E-25  0.000E+00 ( 6.939E-13, 5.496E-14) ( 1.263E-13, 9.954E-15)  1.00E-07
  3.200E+01 4.69739E-25  0.000E+00 ( 6.718E-13, 5.337E-14) ( 1.242E-13, 9.818E-15)  1.00E-07
  3.250E+01 4.41265E-25  0.000E+00 ( 6.508E-13, 5.184E-14) ( 1.222E-13, 9.685E-15)  1.00E-07
  3.300E+01 4.14907E-25  0.000E+00 ( 6.307E-13, 5.038E-14) ( 1.202E-13, 9.556E-15)  1.00E-07
  3.350E+01 3.90477E-25  0.000E+00 ( 6.115E-13, 4.898E-14) ( 1.183E-13, 9.430E-15)  1.00E-07
  3.400E+01 3.67809E-25  0.000E+00 ( 5.932E-13, 4.764E-14) ( 1.165E-13, 9.306E-15)  1.00E-07
  3.450E+01 3.46752E-25  0.000E+00 ( 5.756E-13, 4.635E-14) ( 1.147E-13, 9.185E-15)  1.00E-07
  3.500E+01 3.27173E-25  0.000E+00 ( 5.588E-13, 4.511E-14) ( 1.130E-13, 9.068E-15)  1.00E-07
  3.550E+01 3.08948E-25  0.000E+00 ( 5.427E-13, 4.391E-14) ( 1.113E-13, 8.953E-15)  1.00E-07
  3.600E+01 2.91968E-25  0.000E+00 ( 5.273E-13, 4.277E-14) ( 1.096E-13, 8.842E-15)  1.00E-07
  3.650E+01 2.76131E-25  0.000E+00 ( 5.125E-13, 4.167E-14) ( 1.080E-13, 8.733E-15)  1.00E-07
  3.700E+01 2.61346E-25  0.000E+00 ( 4.983E-13, 4.061E-14) ( 1.065E-13, 8.626E-15)  1.00E-07
  3.750E+01 2.47531E-25  0.000E+00 ( 4.846E-13, 3.959E-14) ( 1.049E-13, 8.521E-15)  1.00E-07
  3.800E+01 2.34610E-25 -2.106E-04 ( 4.715E-13, 3.861E-14) ( 1.035E-13, 8.418E-15)  1.00E-07
  3.850E+01 2.22515E-25 -2.188E-04 ( 4.589E-13, 3.766E-14) ( 1.020E-13, 8.318E-15)  1.00E-07
  3.900E+01 2.11184E-25 -2.241E-04 ( 4.468E-13, 3.674E-14) ( 1.006E-13, 8.221E-15)  1.00E-07
  3.950E+01 2.00560E-25 -2.296E-04 ( 4.352E-13, 3.586E-14) ( 9.923E-14, 8.125E-15)  1.00E-07
  4.000E+01 1.90590E-25 -2.369E-04 ( 4.239E-13, 3.501E-14) ( 9.789E-14, 8.032E-15)  1.00E-07
  4.050E+01 1.81228E-25 -2.432E-04 ( 4.131E-13, 3.419E-14) ( 9.658E-14, 7.940E-15)  1.00E-07
  4.100E+01 1.72428E-25 -2.514E-04 ( 4.027E-13, 3.340E-14) ( 9.530E-14, 7.849E-15)  1.00E-07
  4.150E+01 1.64151E-25 -2.610E-04 ( 3.927E-13, 3.263E-14) ( 9.405E-14, 7.761E-15)  1.00E-07
  4.200E+01 1.56361E-25 -2.654E-04 ( 3.830E-13, 3.189E-14) ( 9.283E-14, 7.674E-15)  1.00E-07
  4.250E+01 1.49023E-25 -2.754E-04 ( 3.736E-13, 3.117E-14) ( 9.163E-14, 7.590E-15)  1.00E-07
  4.300E+01 1.42107E-25 -2.792E-04 ( 3.646E-13, 3.048E-14) ( 9.046E-14, 7.507E-15)  1.00E-07
  4.350E+01 1.35583E-25 -2.875E-04 ( 3.559E-13, 2.981E-14) ( 8.932E-14, 7.426E-15)  1.00E-07
  4.400E+01 1.29426E-25 -2.962E-04 ( 3.475E-13, 2.916E-14) ( 8.820E-14, 7.345E-15)  1.00E-07
  4.450E+01 1.23611E-25 -3.036E-04 ( 3.393E-13, 2.852E-14) ( 8.711E-14, 7.267E-15)  1.00E-07
  4.500E+01 1.18115E-25 -3.135E-04 ( 3.315E-13, 2.791E-14) ( 8.604E-14, 7.189E-15)  1.00E-07
  4.550E+01 1.12918E-25 -3.219E-04 ( 3.239E-13, 2.732E-14) ( 8.499E-14, 7.113E-15)  1.00E-07
  4.600E+01 1.08001E-25 -3.268E-04 ( 3.165E-13, 2.675E-14) ( 8.396E-14, 7.039E-15)  1.00E-07
  4.650E+01 1.03346E-25 -3.376E-04 ( 3.094E-13, 2.619E-14) ( 8.295E-14, 6.966E-15)  1.00E-07
  4.700E+01 9.89356E-26 -3.422E-04 ( 3.025E-13, 2.565E-14) ( 8.197E-14, 6.895E-15)  1.00E-07
  4.750E+01 9.47555E-26 -3.540E-04 ( 2.958E-13, 2.513E-14) ( 8.100E-14, 6.824E-15)  1.00E-07
  4.800E+01 9.07910E-26 -3.624E-04 ( 2.894E-13, 2.462E-14) ( 8.005E-14, 6.755E-15)  1.00E-07
  4.850E+01 8.70290E-26 -3.718E-04 ( 2.831E-13, 2.413E-14) ( 7.912E-14, 6.686E-15)  1.00E-07
  4.900E+01 8.34574E-26 -3.809E-04 ( 2.770E-13, 2.365E-14) ( 7.821E-14, 6.619E-15)  1.00E-07
  4.950E+01 8.00648E-26 -3.880E-04 ( 2.711E-13, 2.318E-14) ( 7.732E-14, 6.553E-15)  1.00E-07
  5.000E+01 7.68406E-26 -3.966E-04 ( 2.654E-13, 2.273E-14) ( 7.644E-14, 6.488E-15)  1.00E-07
  5.050E+01 7.37750E-26 -4.060E-04 ( 2.599E-13, 2.229E-14) ( 7.558E-14, 6.425E-15)  1.00E-07
  5.100E+01 7.08585E-26 -4.153E-04 ( 2.545E-13, 2.186E-14) ( 7.473E-14, 6.362E-15)  1.00E-07
  5.150E+01 6.80826E-26 -4.260E-04 ( 2.492E-13, 2.144E-14) ( 7.390E-14, 6.300E-15)  1.00E-07
  5.200E+01 6.54392E-26 -4.355E-04 ( 2.442E-13, 2.104E-14) ( 7.309E-14, 6.239E-15)  1.00E-07
  5.250E+01 6.29210E-26 -4.447E-04 ( 2.392E-13, 2.064E-14) ( 7.229E-14, 6.179E-15)  1.00E-07
  5.300E+01 6.05208E-26 -4.540E-04 ( 2.344E-13, 2.026E-14) ( 7.150E-14, 6.120E-15)  1.00E-07
  5.350E+01 5.82323E-26 -4.626E-04 ( 2.298E-13, 1.988E-14) ( 7.073E-14, 6.062E-15)  1.00E-07
  5.400E+01 5.60493E-26 -4.726E-04 ( 2.252E-13, 1.952E-14) ( 6.997E-14, 6.004E-15)  1.00E-07
  5.450E+01 5.39659E-26 -4.833E-04 ( 2.208E-13, 1.917E-14) ( 6.922E-14, 5.948E-15)  1.00E-07
  5.500E+01 5.19767E-26 -4.938E-04 ( 2.166E-13, 1.882E-14) ( 6.849E-14, 5.893E-15)  1.00E-07
  5.550E+01 5.00767E-26 -5.049E-04 ( 2.124E-13, 1.848E-14) ( 6.777E-14, 5.838E-15)  1.00E-07
  5.600E+01 4.82611E-26 -5.140E-04 ( 2.083E-13, 1.815E-14) ( 6.706E-14, 5.783E-15)  1.00E-07
  5.650E+01 4.65257E-26 -5.245E-04 ( 2.044E-13, 1.783E-14) ( 6.636E-14, 5.730E-15)  1.00E-07
  5.700E+01 4.48661E-26 -5.342E-04 ( 2.005E-13, 1.752E-14) ( 6.567E-14, 5.677E-15)  1.00E-07
  5.750E+01 4.32786E-26 -5.446E-04 ( 1.968E-13, 1.722E-14) ( 6.499E-14, 5.626E-15)  1.00E-07
  5.800E+01 4.17593E-26 -5.559E-04 ( 1.931E-13, 1.692E-14) ( 6.433E-14, 5.575E-15)  1.00E-07
  5.850E+01 4.03048E-26 -5.673E-04 ( 1.896E-13, 1.663E-14) ( 6.367E-14, 5.524E-15)  1.00E-07
  5.900E+01 3.89117E-26 -5.784E-04 ( 1.861E-13, 1.635E-14) ( 6.303E-14, 5.475E-15)  1.00E-07
  5.950E+01 3.75770E-26 -5.899E-04 ( 1.827E-13, 1.607E-14) ( 6.239E-14, 5.425E-15)  1.00E-07
  6.000E+01 3.62978E-26 -5.993E-04 ( 1.795E-13, 1.580E-14) ( 6.176E-14, 5.377E-15)  1.00E-07
  6.050E+01 3.50715E-26 -6.112E-04 ( 1.762E-13, 1.553E-14) ( 6.115E-14, 5.329E-15)  1.00E-07
  6.100E+01 3.38955E-26 -6.214E-04 ( 1.731E-13, 1.528E-14) ( 6.054E-14, 5.282E-15)  1.00E-07
  6.150E+01 3.27673E-26 -6.338E-04 ( 1.701E-13, 1.503E-14) ( 5.994E-14, 5.235E-15)  1.00E-07
  6.200E+01 3.16845E-26 -6.458E-04 ( 1.671E-13, 1.478E-14) ( 5.935E-14, 5.189E-15)  1.00E-07
  6.250E+01 3.06450E-26 -6.577E-04 ( 1.642E-13, 1.454E-14) ( 5.877E-14, 5.144E-15)  1.00E-07
  6.300E+01 2.96468E-26 -6.692E-04 ( 1.613E-13, 1.431E-14) ( 5.820E-14, 5.099E-15)  1.00E-07
  6.350E+01 2.86879E-26 -6.809E-04 ( 1.586E-13, 1.408E-14) ( 5.763E-14, 5.054E-15)  1.00E-07
  6.400E+01 2.77665E-26 -6.916E-04 ( 1.559E-13, 1.385E-14) ( 5.708E-14, 5.010E-15)  1.00E-07
  6.450E+01 2.68810E-26 -7.049E-04 ( 1.532E-13, 1.363E-14) ( 5.653E-14, 4.967E-15)  1.00E-07
  6.500E+01 2.60295E-26 -7.159E-04 ( 1.506E-13, 1.342E-14) ( 5.598E-14, 4.924E-15)  1.00E-07
  6.550E+01 2.52107E-26 -7.299E-04 ( 1.481E-13, 1.321E-14) ( 5.545E-14, 4.882E-15)  1.00E-07
  6.600E+01 2.44229E-26 -7.415E-04 ( 1.456E-13, 1.300E-14) ( 5.492E-14, 4.840E-15)  1.00E-07
  6.650E+01 2.36647E-26 -7.548E-04 ( 1.432E-13, 1.280E-14) ( 5.440E-14, 4.799E-15)  1.00E-07
  6.700E+01 2.29349E-26 -7.665E-04 ( 1.409E-13, 1.260E-14) ( 5.389E-14, 4.758E-15)  1.00E-07
  6.750E+01 2.22323E-26 -7.790E-04 ( 1.386E-13, 1.241E-14) ( 5.338E-14, 4.718E-15)  1.00E-07
  6.800E+01 2.15557E-26 -7.915E-04 ( 1.363E-13, 1.222E-14) ( 5.288E-14, 4.678E-15)  1.00E-07
  6.850E+01 2.09039E-26 -8.045E-04 ( 1.341E-13, 1.204E-14) ( 5.239E-14, 4.638E-15)  1.00E-07
  6.900E+01 2.02758E-26 -8.179E-04 ( 1.320E-13, 1.186E-14) ( 5.190E-14, 4.599E-15)  1.00E-07
  6.950E+01 1.96703E-26 -8.313E-04 ( 1.299E-13, 1.168E-14) ( 5.142E-14, 4.561E-15)  1.00E-07
  7.000E+01 1.90865E-26 -8.447E-04 ( 1.278E-13, 1.151E-14) ( 5.094E-14, 4.522E-15)  1.00E-07
  7.050E+01 1.85236E-26 -8.577E-04 ( 1.258E-13, 1.134E-14) ( 5.048E-14, 4.485E-15)  1.00E-07
  7.100E+01 1.79806E-26 -8.707E-04 ( 1.238E-13, 1.117E-14) ( 5.001E-14, 4.447E-15)  1.00E-07
  7.150E+01 1.74569E-26 -8.838E-04 ( 1.219E-13, 1.100E-14) ( 4.955E-14, 4.410E-15)  1.00E-07
  7.200E+01 1.69514E-26 -8.974E-04 ( 1.200E-13, 1.084E-14) ( 4.910E-14, 4.373E-15)  1.00E-07
  7.250E+01 1.64634E-26 -9.116E-04 ( 1.182E-13, 1.069E-14) ( 4.865E-14, 4.337E-15)  1.00E-07
  7.300E+01 1.59921E-26 -9.259E-04 ( 1.164E-13, 1.053E-14) ( 4.821E-14, 4.301E-15)  1.00E-07
  7.350E+01 1.55371E-26 -9.399E-04 ( 1.146E-13, 1.038E-14) ( 4.778E-14, 4.266E-15)  1.00E-07
  7.400E+01 1.50976E-26 -9.537E-04 ( 1.128E-13, 1.024E-14) ( 4.734E-14, 4.231E-15)  1.00E-07
  7.450E+01 1.46730E-26 -9.672E-04 ( 1.111E-13, 1.009E-14) ( 4.692E-14, 4.196E-15)  1.00E-07
  7.500E+01 1.42627E-26 -9.812E-04 ( 1.095E-13, 9.948E-15) ( 4.650E-14, 4.161E-15)  1.00E-07
  7.550E+01 1.38660E-26 -9.956E-04 ( 1.078E-13, 9.808E-15) ( 4.608E-14, 4.127E-15)  1.00E-07
  7.600E+01 1.34825E-26 -1.010E-03 ( 1.062E-13, 9.671E-15) ( 4.567E-14, 4.093E-15)  1.00E-07
  7.650E+01 1.31117E-26 -1.025E-03 ( 1.047E-13, 9.537E-15) ( 4.526E-14, 4.059E-15)  1.00E-07
  7.700E+01 1.27530E-26 -1.040E-03 ( 1.031E-13, 9.405E-15) ( 4.486E-14, 4.026E-15)  1.00E-07
  7.750E+01 1.24061E-26 -1.055E-03 ( 1.016E-13, 9.276E-15) ( 4.446E-14, 3.994E-15)  1.00E-07
  7.800E+01 1.20704E-26 -1.069E-03 ( 1.001E-13, 9.149E-15) ( 4.406E-14, 3.961E-15)  1.00E-07
  7.850E+01 1.17455E-26 -1.084E-03 ( 9.870E-14, 9.025E-15) ( 4.367E-14, 3.929E-15)  1.00E-07
  7.900E+01 1.14310E-26 -1.098E-03 ( 9.728E-14, 8.903E-15) ( 4.329E-14, 3.897E-15)  1.00E-07
  7.950E+01 1.11265E-26 -1.114E-03 ( 9.588E-14, 8.782E-15) ( 4.290E-14, 3.865E-15)  1.00E-07
  8.000E+01 1.08316E-26 -1.129E-03 ( 9.452E-14, 8.664E-15) ( 4.253E-14, 3.834E-15)  1.00E-07
  8.050E+01 1.05460E-26 -1.145E-03 ( 9.318E-14, 8.549E-15) ( 4.215E-14, 3.802E-15)  1.00E-07
  8.100E+01 1.02694E-26 -1.160E-03 ( 9.186E-14, 8.435E-15) ( 4.178E-14, 3.771E-15)  1.00E-07
  8.150E+01 1.00013E-26 -1.176E-03 ( 9.057E-14, 8.323E-15) ( 4.141E-14, 3.741E-15)  1.00E-07
  8.200E+01 9.74158E-27 -1.191E-03 ( 8.930E-14, 8.214E-15) ( 4.105E-14, 3.711E-15)  1.00E-07
  8.250E+01 9.48981E-27 -1.207E-03 ( 8.806E-14, 8.106E-15) ( 4.069E-14, 3.681E-15)  1.00E-07
  8.300E+01 9.24574E-27 -1.222E-03 ( 8.684E-14, 8.000E-15) ( 4.034E-14, 3.651E-15)  1.00E-07
  8.350E+01 9.00908E-27 -1.239E-03 ( 8.564E-14, 7.896E-15) ( 3.998E-14, 3.621E-15)  1.00E-07
  8.400E+01 8.77957E-27 -1.255E-03 ( 8.447E-14, 7.794E-15) ( 3.963E-14, 3.592E-15)  1.00E-07
  8.450E+01 8.55698E-27 -1.271E-03 ( 8.332E-14, 7.694E-15) ( 3.929E-14, 3.563E-15)  1.00E-07
  8.500E+01 8.34104E-27 -1.287E-03 ( 8.218E-14, 7.595E-15) ( 3.895E-14, 3.534E-15)  1.00E-07
  8.550E+01 8.13153E-27 -1.303E-03 ( 8.107E-14, 7.498E-15) ( 3.861E-14, 3.505E-15)  1.00E-07
  8.600E+01 7.92822E-27 -1.319E-03 ( 7.998E-14, 7.403E-15) ( 3.827E-14, 3.477E-15)  1.00E-07
  8.650E+01 7.73088E-27 -1.336E-03 ( 7.891E-14, 7.309E-15) ( 3.794E-14, 3.449E-15)  1.00E-07
  8.700E+01 7.53932E-27 -1.353E-03 ( 7.785E-14, 7.217E-15) ( 3.761E-14, 3.421E-15)  1.00E-07
  8.750E+01 7.35334E-27 -1.370E-03 ( 7.682E-14, 7.127E-15) ( 3.728E-14, 3.393E-15)  1.00E-07
  8.800E+01 7.17275E-27 -1.386E-03 ( 7.580E-14, 7.038E-15) ( 3.696E-14, 3.366E-15)  1.00E-07
  8.850E+01 6.99736E-27 -1.403E-03 ( 7.480E-14, 6.950E-15) ( 3.664E-14, 3.338E-15)  1.00E-07
  8.900E+01 6.82700E-27 -1.420E-03 ( 7.382E-14, 6.864E-15) ( 3.632E-14, 3.311E-15)  1.00E-07
  8.950E+01 6.66150E-27 -1.437E-03 ( 7.286E-14, 6.779E-15) ( 3.600E-14, 3.284E-15)  1.00E-07
  9.000E+01 6.50069E-27 -1.454E-03 ( 7.191E-14, 6.696E-15) ( 3.569E-14, 3.258E-15)  1.00E-07
  9.050E+01 6.34442E-27 -1.471E-03 ( 7.098E-14, 6.614E-15) ( 3.538E-14, 3.231E-15)  1.00E-07
  9.100E+01 6.19255E-27 -1.489E-03 ( 7.007E-14, 6.534E-15) ( 3.508E-14, 3.205E-15)  1.00E-07
  9.150E+01 6.04492E-27 -1.507E-03 ( 6.917E-14, 6.455E-15) ( 3.477E-14, 3.179E-15)  1.00E-07
  9.200E+01 5.90139E-27 -1.524E-03 ( 6.828E-14, 6.377E-15) ( 3.447E-14, 3.153E-15)  1.00E-07
  9.250E+01 5.76185E-27 -1.541E-03 ( 6.742E-14, 6.300E-15) ( 3.417E-14, 3.127E-15)  1.00E-07
  9.300E+01 5.62614E-27 -1.558E-03 ( 6.656E-14, 6.224E-15) ( 3.387E-14, 3.102E-15)  1.00E-07
  9.350E+01 5.49415E-27 -1.576E-03 ( 6.572E-14, 6.150E-15) ( 3.358E-14, 3.076E-15)  1.00E-07
  9.400E+01 5.36576E-27 -1.594E-03 ( 6.490E-14, 6.077E-15) ( 3.329E-14, 3.051E-15)  1.00E-07
  9.450E+01 5.24086E-27 -1.613E-03 ( 6.408E-14, 6.005E-15) ( 3.300E-14, 3.026E-15)  1.00E-07
  9.500E+01 5.11934E-27 -1.631E-03 ( 6.329E-14, 5.934E-15) ( 3.271E-14, 3.001E-15)  1.00E-07
  9.550E+01 5.00108E-27 -1.649E-03 ( 6.250E-14, 5.865E-15) ( 3.242E-14, 2.977E-15)  1.00E-07
  9.600E+01 4.88599E-27 -1.667E-03 ( 6.173E-14, 5.796E-15) ( 3.214E-14, 2.952E-15)  1.00E-07
  9.650E+01 4.77398E-27 -1.685E-03 ( 6.097E-14, 5.729E-15) ( 3.186E-14, 2.928E-15)  1.00E-07
  9.700E+01 4.66493E-27 -1.703E-03 ( 6.022E-14, 5.663E-15) ( 3.158E-14, 2.904E-15)  1.00E-07
  9.750E+01 4.55876E-27 -1.722E-03 ( 5.949E-14, 5.597E-15) ( 3.131E-14, 2.880E-15)  1.00E-07
  9.800E+01 4.45538E-27 -1.741E-03 ( 5.877E-14, 5.533E-15) ( 3.103E-14, 2.856E-15)  1.00E-07
  9.850E+01 4.35470E-27 -1.760E-03 ( 5.806E-14, 5.470E-15) ( 3.076E-14, 2.832E-15)  1.00E-07
  9.900E+01 4.25665E-27 -1.778E-03 ( 5.736E-14, 5.407E-15) ( 3.049E-14, 2.808E-15)  1.00E-07
  9.950E+01 4.16115E-27 -1.796E-03 ( 5.667E-14, 5.346E-15) ( 3.022E-14, 2.785E-15)  1.00E-07
  1.000E+02 4.06811E-27 -1.815E-03 ( 5.599E-14, 5.285E-15) ( 2.996E-14, 2.762E-15)  1.00E-07
  1.005E+02 3.97747E-27 -1.834E-03 ( 5.533E-14, 5.226E-15) ( 2.969E-14, 2.739E-15)  1.00E-07
  1.010E+02 3.88915E-27 -1.853E-03 ( 5.467E-14, 5.167E-15) ( 2.943E-14, 2.716E-15)  1.00E-07
  1.015E+02 3.80308E-27 -1.873E-03 ( 5.403E-14, 5.110E-15) ( 2.917E-14, 2.693E-15)  1.00E-07
  1.020E+02 3.71919E-27 -1.891E-03 ( 5.339E-14, 5.053E-15) ( 2.891E-14, 2.670E-15)  1.00E-07
  1.025E+02 3.63743E-27 -1.911E-03 ( 5.277E-14, 4.997E-15) ( 2.865E-14, 2.648E-15)  1.00E-07
  1.030E+02 3.55772E-27 -1.930E-03 ( 5.215E-14, 4.942E-15) ( 2.840E-14, 2.625E-15)  1.00E-07
  1.035E+02 3.48002E-27 -1.949E-03 ( 5.155E-14, 4.887E-15) ( 2.815E-14, 2.603E-15)  1.00E-07
  1.040E+02 3.40426E-27 -1.968E-03 ( 5.095E-14, 4.834E-15) ( 2.789E-14, 2.581E-15)  1.00E-07
  1.045E+02 3.33038E-27 -1.988E-03 ( 5.037E-14, 4.781E-15) ( 2.764E-14, 2.558E-15)  1.00E-07
  1.050E+02 3.25833E-27 -2.008E-03 ( 4.979E-14, 4.729E-15) ( 2.740E-14, 2.537E-15)  1.00E-07
  1.055E+02 3.18806E-27 -2.028E-03 ( 4.922E-14, 4.678E-15) ( 2.715E-14, 2.515E-15)  1.00E-07
  1.060E+02 3.11952E-27 -2.047E-03 ( 4.866E-14, 4.628E-15) ( 2.691E-14, 2.493E-15)  1.00E-07
  1.065E+02 3.05266E-27 -2.067E-03 ( 4.811E-14, 4.578E-15) ( 2.666E-14, 2.472E-15)  1.00E-07
  1.070E+02 2.98744E-27 -2.086E-03 ( 4.757E-14, 4.529E-15) ( 2.642E-14, 2.450E-15)  1.00E-07
  1.075E+02 2.92380E-27 -2.105E-03 ( 4.704E-14, 4.481E-15) ( 2.618E-14, 2.429E-15)  1.00E-07
  1.080E+02 2.86169E-27 -2.125E-03 ( 4.651E-14, 4.434E-15) ( 2.594E-14, 2.408E-15)  1.00E-07
  1.085E+02 2.80109E-27 -2.145E-03 ( 4.599E-14, 4.387E-15) ( 2.570E-14, 2.386E-15)  1.00E-07
  1.090E+02 2.74194E-27 -2.166E-03 ( 4.548E-14, 4.341E-15) ( 2.547E-14, 2.366E-15)  1.00E-07
  1.095E+02 2.68421E-27 -2.186E-03 ( 4.498E-14, 4.296E-15) ( 2.523E-14, 2.345E-15)  1.00E-07
  1.100E+02 2.62786E-27 -2.205E-03 ( 4.449E-14, 4.251E-15) ( 2.500E-14, 2.324E-15)  1.00E-07
  1.105E+02 2.57285E-27 -2.225E-03 ( 4.400E-14, 4.207E-15) ( 2.477E-14, 2.303E-15)  1.00E-07
  1.110E+02 2.51915E-27 -2.245E-03 ( 4.352E-14, 4.164E-15) ( 2.454E-14, 2.283E-15)  1.00E-07
  1.115E+02 2.46671E-27 -2.265E-03 ( 4.305E-14, 4.121E-15) ( 2.431E-14, 2.262E-15)  1.00E-07
  1.120E+02 2.41551E-27 -2.286E-03 ( 4.259E-14, 4.079E-15) ( 2.409E-14, 2.242E-15)  1.00E-07
