

  **** Partial wave analysis (DPWAI0) ******************************************


  Kinetic energy = 1.00000E+06 eV

              --------- Spin UP ---------      -------- Spin DOWN --------
      L         Re(phase)      Im(phase)         Re(phase)      Im(phase)
     185      5.76102372E-03  7.53515E-05      5.78372500E-03  7.54361E-05  i
     190      5.59299728E-03  7.47111E-05      5.61489099E-03  7.47960E-05  i
     195      5.43090033E-03  7.40692E-05      5.45202615E-03  7.41542E-05  i
     200      5.27444539E-03  7.34260E-05      5.29484017E-03  7.35112E-05  i
     205      5.12336509E-03  7.27818E-05      5.14306314E-03  7.28671E-05  i
     210      4.97741027E-03  7.21368E-05      4.99644358E-03  7.22222E-05  i
     215      4.83634831E-03  7.14913E-05      4.85474678E-03  7.15768E-05  i
     220      4.69996162E-03  7.08456E-05      4.71775324E-03  7.09311E-05  i
     225      4.56804636E-03  7.01998E-05      4.58525737E-03  7.02853E-05  i
     230      4.44041123E-03  6.95542E-05      4.45706626E-03  6.96396E-05  i
     235      4.31687643E-03  6.89089E-05      4.33299865E-03  6.89943E-05  i
     240      4.19727273E-03  6.82643E-05      4.21288398E-03  6.83495E-05  i
     245      4.08144063E-03  6.76204E-05      4.09656149E-03  6.77056E-05  i
     250      3.96922958E-03  6.69775E-05      3.98387948E-03  6.70625E-05  i
     255      3.86049731E-03  6.63358E-05      3.87469463E-03  6.64207E-05  i
     260      3.75510920E-03  6.56954E-05      3.76887135E-03  6.57801E-05  i
     265      3.65293775E-03  6.50569E-05      3.66628120E-03  6.51413E-05  i
     270      3.55386203E-03  6.44196E-05      3.56680244E-03  6.45040E-05  i
     275      3.45776724E-03  6.37854E-05      3.47031947E-03  6.38690E-05  i
     280      3.36454431E-03  6.31553E-05      3.37672247E-03  6.32388E-05  i
     285      3.27408945E-03  6.25220E-05      3.28590700E-03  6.26060E-05  i
     290      3.18630389E-03  6.18875E-05      3.19777362E-03  6.19714E-05  i
     295      3.10109347E-03  6.12551E-05      3.11222759E-03  6.13387E-05  i
     300      3.01836839E-03  6.06249E-05      3.02917856E-03  6.07082E-05  i
     310      2.86003530E-03  5.93718E-05      2.87023040E-03  5.94544E-05  i
     320      2.71066356E-03  5.81290E-05      2.72028427E-03  5.82109E-05  i
     330      2.56966652E-03  5.68972E-05      2.57875012E-03  5.69784E-05  i
     340      2.43650582E-03  5.56772E-05      2.44508655E-03  5.57576E-05  i
     350      2.31068621E-03  5.44696E-05      2.31879560E-03  5.45491E-05  i
     360      2.19175100E-03  5.32750E-05      2.19941817E-03  5.33537E-05  i
