 #
 # Subroutine ELSEPM. Elastic scattering ofelectrons and positrons by
 #       molecules (single-scattering independent-atom approximation)
 #
 # Molecule: Water (vapour)                     
 #
 # Structure:
 # IZ =  8,    X,Y,Z =   0.00000E+00  0.00000E+00  0.00000E+00 cm
 # IZ =  1,    X,Y,Z =   9.57200E-09  0.00000E+00  0.00000E+00 cm
 # IZ =  1,    X,Y,Z =  -2.39990E-09  9.26630E-09  0.00000E+00 cm
 #
 # Projectile: electron
 # Kinetic energy = 3.5000000E+01 eV
 #
 # Furness-McCarthy exchange potential
 #
 # Correlation-polarization potential (Buckingham):
 #    molecular polarizability = 1.45700E-24 cm**3
 #
 # LDA-I absorption potential (only electron-hole excitations):
 #                           Delta = 6.20000E+00 eV
 #                            Aabs = 2.00000E+00
 #
 # Integrated cross sections:
 #                     coherent      incoherent
 #         total cs: 1.6661974E-15  9.6675049E-16
 # 1st transport cs: 5.6411171E-16  5.1348428E-16
 # 2nd transport cs: 6.2861984E-16  5.0475693E-16
 #
 # Differential cross section:                     MU=(1-COS(THETA))/2
 #
 #   THETA           MU         DCS coh      DCS incoh      Sherman
 #   (deg)                     (cm**2/sr)    (cm**2/sr)     function
 #--------------------------------------------------------------------
  9.250000E-02  6.515956E-07  2.881402E-15  9.813024E-16 -3.091505E-07
  9.500000E-02  6.872929E-07  2.881370E-15  9.812919E-16 -3.175082E-07
  9.750000E-02  7.239422E-07  2.881337E-15  9.812811E-16 -3.258660E-07
  1.000000E-01  7.615434E-07  2.881303E-15  9.812701E-16 -3.342241E-07
  1.250000E-01  1.189911E-06  2.880919E-15  9.811445E-16 -4.178155E-07
  1.500000E-01  1.713472E-06  2.880451E-15  9.809914E-16 -5.014304E-07
  1.750000E-01  2.332225E-06  2.879900E-15  9.808109E-16 -5.850733E-07
  2.000000E-01  3.046171E-06  2.879265E-15  9.806034E-16 -6.687488E-07
  2.250000E-01  3.855309E-06  2.878550E-15  9.803691E-16 -7.524612E-07
  2.500000E-01  4.759640E-06  2.877753E-15  9.801085E-16 -8.362150E-07
  2.750000E-01  5.759162E-06  2.876876E-15  9.798218E-16 -9.200144E-07
  3.000000E-01  6.853876E-06  2.875922E-15  9.795095E-16 -1.003864E-06
  3.250000E-01  8.043782E-06  2.874890E-15  9.791720E-16 -1.087766E-06
  3.500000E-01  9.328879E-06  2.873782E-15  9.788098E-16 -1.171727E-06
  3.750000E-01  1.070917E-05  2.872600E-15  9.784234E-16 -1.255749E-06
  4.000000E-01  1.218465E-05  2.871346E-15  9.780133E-16 -1.339836E-06
  4.250000E-01  1.375532E-05  2.870021E-15  9.775802E-16 -1.423992E-06
  4.500000E-01  1.542118E-05  2.868627E-15  9.771245E-16 -1.508220E-06
  4.750000E-01  1.718223E-05  2.867166E-15  9.766469E-16 -1.592523E-06
  5.000000E-01  1.903847E-05  2.865639E-15  9.761481E-16 -1.676904E-06
  5.250000E-01  2.098990E-05  2.864049E-15  9.756286E-16 -1.761367E-06
  5.500000E-01  2.303652E-05  2.862397E-15  9.750892E-16 -1.845913E-06
  5.750000E-01  2.517832E-05  2.860687E-15  9.745306E-16 -1.930546E-06
  6.000000E-01  2.741532E-05  2.858919E-15  9.739535E-16 -2.015267E-06
  6.250000E-01  2.974750E-05  2.857096E-15  9.733585E-16 -2.100079E-06
  6.500000E-01  3.217487E-05  2.855220E-15  9.727464E-16 -2.184985E-06
  6.750000E-01  3.469743E-05  2.853294E-15  9.721179E-16 -2.269985E-06
  7.000000E-01  3.731517E-05  2.851320E-15  9.714739E-16 -2.355082E-06
  7.250000E-01  4.002810E-05  2.849299E-15  9.708149E-16 -2.440276E-06
  7.500000E-01  4.283621E-05  2.847234E-15  9.701419E-16 -2.525570E-06
  7.750000E-01  4.573951E-05  2.845128E-15  9.694554E-16 -2.610965E-06
  8.000000E-01  4.873800E-05  2.842982E-15  9.687563E-16 -2.696461E-06
  8.250000E-01  5.183166E-05  2.840799E-15  9.680453E-16 -2.782059E-06
  8.500000E-01  5.502051E-05  2.838581E-15  9.673232E-16 -2.867760E-06
  8.750000E-01  5.830454E-05  2.836331E-15  9.665906E-16 -2.953565E-06
  9.000000E-01  6.168376E-05  2.834049E-15  9.658483E-16 -3.039474E-06
  9.250000E-01  6.515815E-05  2.831740E-15  9.650970E-16 -3.125486E-06
  9.500000E-01  6.872773E-05  2.829404E-15  9.643374E-16 -3.211603E-06
  9.750000E-01  7.239249E-05  2.827043E-15  9.635702E-16 -3.297824E-06
  1.000000E+00  7.615242E-05  2.824661E-15  9.627960E-16 -3.384149E-06
  1.100000E+00  9.214394E-05  2.814945E-15  9.596426E-16 -3.730482E-06
  1.200000E+00  1.096583E-04  2.805018E-15  9.564263E-16 -4.078437E-06
  1.300000E+00  1.286953E-04  2.794980E-15  9.531803E-16 -4.427964E-06
  1.400000E+00  1.492551E-04  2.784912E-15  9.499312E-16 -4.778998E-06
  1.500000E+00  1.713375E-04  2.774873E-15  9.466992E-16 -5.131477E-06
  1.600000E+00  1.949425E-04  2.764908E-15  9.434980E-16 -5.485341E-06
  1.700000E+00  2.200699E-04  2.755038E-15  9.403355E-16 -5.840545E-06
  1.800000E+00  2.467198E-04  2.745275E-15  9.372146E-16 -6.197057E-06
  1.900000E+00  2.748920E-04  2.735613E-15  9.341336E-16 -6.554867E-06
  2.000000E+00  3.045865E-04  2.726040E-15  9.310878E-16 -6.913981E-06
  2.100000E+00  3.358031E-04  2.716534E-15  9.280705E-16 -7.274423E-06
  2.200000E+00  3.685418E-04  2.707073E-15  9.250736E-16 -7.636231E-06
  2.300000E+00  4.028024E-04  2.697633E-15  9.220892E-16 -7.999451E-06
  2.400000E+00  4.385850E-04  2.688192E-15  9.191100E-16 -8.364135E-06
  2.500000E+00  4.758892E-04  2.678732E-15  9.161297E-16 -8.730332E-06
  2.600000E+00  5.147151E-04  2.669239E-15  9.131440E-16 -9.098089E-06
  2.700000E+00  5.550625E-04  2.659705E-15  9.101500E-16 -9.467443E-06
  2.800000E+00  5.969313E-04  2.650128E-15  9.071470E-16 -9.838418E-06
  2.900000E+00  6.403214E-04  2.640509E-15  9.041355E-16 -1.021103E-05
  3.000000E+00  6.852326E-04  2.630854E-15  9.011176E-16 -1.058528E-05
  3.100000E+00  7.316648E-04  2.621172E-15  8.980960E-16 -1.096116E-05
  3.200000E+00  7.796179E-04  2.611473E-15  8.950741E-16 -1.133865E-05
  3.300000E+00  8.290917E-04  2.601768E-15  8.920554E-16 -1.171773E-05
  3.400000E+00  8.800860E-04  2.592065E-15  8.890429E-16 -1.209838E-05
  3.500000E+00  9.326008E-04  2.582373E-15  8.860391E-16 -1.248057E-05
  3.600000E+00  9.866358E-04  2.572697E-15  8.830459E-16 -1.286430E-05
  3.700000E+00  1.042191E-03  2.563041E-15  8.800641E-16 -1.324955E-05
  3.800000E+00  1.099266E-03  2.553405E-15  8.770938E-16 -1.363632E-05
  3.900000E+00  1.157861E-03  2.543788E-15  8.741344E-16 -1.402463E-05
  4.000000E+00  1.217975E-03  2.534186E-15  8.711846E-16 -1.441448E-05
  4.100000E+00  1.279609E-03  2.524594E-15  8.682426E-16 -1.480592E-05
  4.200000E+00  1.342761E-03  2.515007E-15  8.653066E-16 -1.519895E-05
  4.300000E+00  1.407433E-03  2.505421E-15  8.623749E-16 -1.559362E-05
  4.400000E+00  1.473624E-03  2.495830E-15  8.594457E-16 -1.598996E-05
  4.500000E+00  1.541333E-03  2.486231E-15  8.565179E-16 -1.638800E-05
  4.600000E+00  1.610561E-03  2.476622E-15  8.535907E-16 -1.678776E-05
  4.700000E+00  1.681307E-03  2.467001E-15  8.506637E-16 -1.718926E-05
  4.800000E+00  1.753570E-03  2.457370E-15  8.477371E-16 -1.759251E-05
  4.900000E+00  1.827352E-03  2.447729E-15  8.448114E-16 -1.799751E-05
  5.000000E+00  1.902651E-03  2.438082E-15  8.418876E-16 -1.840428E-05
  5.100000E+00  1.979467E-03  2.428432E-15  8.389666E-16 -1.881279E-05
  5.200000E+00  2.057801E-03  2.418782E-15  8.360494E-16 -1.922305E-05
  5.300000E+00  2.137651E-03  2.409135E-15  8.331372E-16 -1.963504E-05
  5.400000E+00  2.219018E-03  2.399493E-15  8.302306E-16 -2.004877E-05
  5.500000E+00  2.301901E-03  2.389860E-15  8.273302E-16 -2.046422E-05
  5.600000E+00  2.386300E-03  2.380235E-15  8.244364E-16 -2.088139E-05
  5.700000E+00  2.472215E-03  2.370619E-15  8.215491E-16 -2.130031E-05
  5.800000E+00  2.559646E-03  2.361012E-15  8.186680E-16 -2.172097E-05
  5.900000E+00  2.648591E-03  2.351413E-15  8.157927E-16 -2.214339E-05
  6.000000E+00  2.739052E-03  2.341820E-15  8.129225E-16 -2.256759E-05
  6.100000E+00  2.831028E-03  2.332231E-15  8.100567E-16 -2.299361E-05
  6.200000E+00  2.924518E-03  2.322645E-15  8.071947E-16 -2.342145E-05
