 #
 # Subroutine ELSEPM. Elastic scattering ofelectrons and positrons by
 #       molecules (single-scattering independent-atom approximation)
 #
 # Molecule: Water (vapour)                     
 #
 # Structure:
 # IZ =  8,    X,Y,Z =   0.00000E+00  0.00000E+00  0.00000E+00 cm
 # IZ =  1,    X,Y,Z =   9.57200E-09  0.00000E+00  0.00000E+00 cm
 # IZ =  1,    X,Y,Z =  -2.39990E-09  9.26630E-09  0.00000E+00 cm
 #
 # Projectile: electron
 # Kinetic energy = 7.0000000E+06 eV
 #
 # Furness-McCarthy exchange potential
 #
 # No correlation-polarization potential
 #
 # No absorption potential
 #
 # Integrated cross sections:
 #                     coherent      incoherent
 #         total cs: 3.4932774E-19  2.9778515E-19
 # 1st transport cs: 1.9947991E-24  1.9938403E-24
 # 2nd transport cs: 5.7389552E-24  5.7360799E-24
 #
 # Differential cross section:                     MU=(1-COS(THETA))/2
 #
 #   THETA           MU         DCS coh      DCS incoh      Sherman
 #   (deg)                     (cm**2/sr)    (cm**2/sr)     function
 #--------------------------------------------------------------------
  2.000000E+00  3.045865E-04  6.629169E-20  6.607235E-20  0.000000E+00
  2.100000E+00  3.358031E-04  5.455353E-20  5.437711E-20  0.000000E+00
  2.200000E+00  3.685418E-04  4.530612E-20  4.515834E-20  0.000000E+00
  2.300000E+00  4.028024E-04  3.792380E-20  3.781276E-20  0.000000E+00
  2.400000E+00  4.385850E-04  3.199974E-20  3.190177E-20  0.000000E+00
  2.500000E+00  4.758892E-04  2.717767E-20  2.710197E-20  0.000000E+00
  2.600000E+00  5.147151E-04  2.323508E-20  2.317189E-20  0.000000E+00
  2.700000E+00  5.550625E-04  1.998297E-20  1.992911E-20  0.000000E+00
  2.800000E+00  5.969313E-04  1.727592E-20  1.723433E-20  0.000000E+00
  2.900000E+00  6.403214E-04  1.501755E-20  1.498007E-20  0.000000E+00
  3.000000E+00  6.852326E-04  1.311193E-20  1.308269E-20  0.000000E+00
  3.100000E+00  7.316648E-04  1.150149E-20  1.147649E-20  0.000000E+00
  3.200000E+00  7.796179E-04  1.013086E-20  1.010944E-20  0.000000E+00
  3.300000E+00  8.290917E-04  8.956753E-21  8.940054E-21  0.000000E+00
  3.400000E+00  8.800860E-04  7.950303E-21  7.935013E-21  0.000000E+00
  3.500000E+00  9.326008E-04  7.079179E-21  7.067355E-21  0.000000E+00
  3.600000E+00  9.866358E-04  6.325432E-21  6.315149E-21  0.000000E+00
  3.700000E+00  1.042191E-03  5.669199E-21  5.660439E-21  0.000000E+00
  3.800000E+00  1.099266E-03  5.095213E-21  5.088442E-21  0.000000E+00
  3.900000E+00  1.157861E-03  4.593216E-21  4.586930E-21  0.000000E+00
  4.000000E+00  1.217975E-03  4.150426E-21  4.145731E-21  0.000000E+00
  4.100000E+00  1.279609E-03  3.760483E-21  3.756343E-21  0.000000E+00
  4.200000E+00  1.342761E-03  3.415076E-21  3.411633E-21  0.000000E+00
  4.300000E+00  1.407433E-03  3.108155E-21  3.105589E-21  0.000000E+00
  4.400000E+00  1.473624E-03  2.835539E-21  2.833118E-21  0.000000E+00
  4.500000E+00  1.541333E-03  2.591544E-21  2.589896E-21  0.000000E+00
  4.600000E+00  1.610561E-03  2.373710E-21  2.372234E-21  0.000000E+00
  4.700000E+00  1.681307E-03  2.178114E-21  2.176974E-21  0.000000E+00
  4.800000E+00  1.753570E-03  2.002157E-21  2.001405E-21  0.000000E+00
  4.900000E+00  1.827352E-03  1.843926E-21  1.843192E-21  0.000000E+00
  5.000000E+00  1.902651E-03  1.700658E-21  1.700315E-21  0.000000E+00
  5.100000E+00  1.979467E-03  1.571346E-21  1.571023E-21  0.000000E+00
  5.200000E+00  2.057801E-03  1.453951E-21  1.453796E-21  0.000000E+00
  5.300000E+00  2.137651E-03  1.347296E-21  1.347307E-21  0.000000E+00
  5.400000E+00  2.219018E-03  1.250411E-21  1.250396E-21  0.000000E+00
  5.500000E+00  2.301901E-03  1.161862E-21  1.162048E-21  0.000000E+00
  5.600000E+00  2.386300E-03  1.081221E-21  1.081371E-21  0.000000E+00
  5.700000E+00  2.472215E-03  1.007341E-21  1.007578E-21  0.000000E+00
  5.800000E+00  2.559646E-03  9.396809E-22  9.399774E-22  0.000000E+00
  5.900000E+00  2.648591E-03  8.776935E-22  8.779542E-22  0.000000E+00
  6.000000E+00  2.739052E-03  8.206024E-22  8.209662E-22  0.000000E+00
  6.100000E+00  2.831028E-03  7.682186E-22  7.685304E-22  0.000000E+00
  6.200000E+00  2.924518E-03  7.198587E-22  7.202166E-22  0.000000E+00
  6.300000E+00  3.019522E-03  6.752743E-22  6.756425E-22  0.000000E+00
  6.400000E+00  3.116040E-03  6.341311E-22  6.344659E-22  0.000000E+00
  6.500000E+00  3.214072E-03  5.959936E-22  5.963800E-22  0.000000E+00
  6.600000E+00  3.313617E-03  5.607767E-22  5.611113E-22  0.000000E+00
  6.700000E+00  3.414675E-03  5.280531E-22  5.284131E-22  0.000000E+00
  6.800000E+00  3.517246E-03  4.977147E-22  4.980631E-22  0.000000E+00
  6.900000E+00  3.621329E-03  4.695412E-22  4.698627E-22  0.000000E+00
  7.000000E+00  3.726924E-03  4.432859E-22  4.436312E-22  0.000000E+00
  7.100000E+00  3.834031E-03  4.189051E-22  4.192054E-22  0.000000E+00
  7.200000E+00  3.942649E-03  3.961245E-22  3.964394E-22  0.000000E+00
  7.300000E+00  4.052779E-03  3.749038E-22  3.751984E-22  0.000000E+00
  7.400000E+00  4.164419E-03  3.550870E-22  3.553620E-22  0.000000E+00
  7.500000E+00  4.277569E-03  3.365365E-22  3.368203E-22  0.000000E+00
  7.600000E+00  4.392230E-03  3.192252E-22  3.194725E-22  0.000000E+00
  7.700000E+00  4.508400E-03  3.029719E-22  3.032281E-22  0.000000E+00
  7.800000E+00  4.626080E-03  2.877698E-22  2.880038E-22  0.000000E+00
  7.900000E+00  4.745268E-03  2.735026E-22  2.737234E-22  0.000000E+00
  8.000000E+00  4.865966E-03  2.600963E-22  2.603178E-22  0.000000E+00
  8.100000E+00  4.988171E-03  2.475301E-22  2.477234E-22  0.000000E+00
  8.200000E+00  5.111885E-03  2.356828E-22  2.358817E-22  0.000000E+00
  8.300000E+00  5.237105E-03  2.245617E-22  2.247397E-22  0.000000E+00
  8.400000E+00  5.363834E-03  2.140782E-22  2.142482E-22  0.000000E+00
