 #  Scattering amplitudes (in cm)      MU=(1-cos(TH))/2
 #  Z =   1,   projectile: electron
 #  Kinetic energy = 1.00000E+07 eV
 #
 # TH (deg)      MU          Re(F)        Im(F)        Re(G)        Im(G)
 #--------------------------------------------------------------------------
  8.000E-01  4.87380E-05  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  8.250E-01  5.18317E-05  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  8.500E-01  5.50205E-05  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  8.750E-01  5.83045E-05  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  9.000E-01  6.16838E-05  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  9.250E-01  6.51582E-05  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  9.500E-01  6.87277E-05  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  9.750E-01  7.23925E-05  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  1.000E+00  7.61524E-05  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  1.100E+00  9.21439E-05  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  1.200E+00  1.09658E-04  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  1.300E+00  1.28695E-04  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  1.400E+00  1.49255E-04  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  1.500E+00  1.71338E-04  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  1.600E+00  1.94942E-04  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  1.700E+00  2.20070E-04  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  1.800E+00  2.46720E-04  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  1.900E+00  2.74892E-04  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  2.000E+00  3.04586E-04  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
