 #
 # Differential cross section:               MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #--------------------------------------------------------------
  9.300E+00  6.57214E-03  7.24832E-21  2.58842E-04  1.12791E-04
  9.400E+00  6.71392E-03  6.95307E-21  2.48299E-04  1.15057E-04
  9.500E+00  6.85720E-03  6.67287E-21  2.38293E-04  1.17331E-04
  9.600E+00  7.00198E-03  6.40681E-21  2.28791E-04  1.19601E-04
  9.700E+00  7.14827E-03  6.15404E-21  2.19765E-04  1.21862E-04
  9.800E+00  7.29605E-03  5.91376E-21  2.11184E-04  1.24138E-04
  9.900E+00  7.44534E-03  5.68523E-21  2.03023E-04  1.26439E-04
  1.000E+01  7.59612E-03  5.46778E-21  1.95258E-04  1.28749E-04
  1.025E+01  7.97965E-03  4.96848E-21  1.77428E-04  1.34507E-04
  1.050E+01  8.37255E-03  4.52558E-21  1.61611E-04  1.40288E-04
  1.075E+01  8.77480E-03  4.13157E-21  1.47541E-04  1.46104E-04
  1.100E+01  9.18641E-03  3.78008E-21  1.34989E-04  1.51856E-04
  1.125E+01  9.60736E-03  3.46570E-21  1.23762E-04  1.57669E-04
  1.150E+01  1.00376E-02  3.18380E-21  1.13695E-04  1.63397E-04
  1.175E+01  1.04773E-02  2.93040E-21  1.04646E-04  1.69145E-04
  1.200E+01  1.09262E-02  2.70210E-21  9.64938E-05  1.74826E-04
  1.225E+01  1.13844E-02  2.49596E-21  8.91324E-05  1.80420E-04
  1.250E+01  1.18520E-02  2.30943E-21  8.24711E-05  1.86018E-04
  1.275E+01  1.23288E-02  2.14029E-21  7.64312E-05  1.91470E-04
  1.300E+01  1.28150E-02  1.98663E-21  7.09438E-05  1.96931E-04
  1.325E+01  1.33104E-02  1.84676E-21  6.59490E-05  2.02221E-04
  1.350E+01  1.38150E-02  1.71921E-21  6.13943E-05  2.07421E-04
  1.375E+01  1.43290E-02  1.60270E-21  5.72335E-05  2.12544E-04
  1.400E+01  1.48521E-02  1.49609E-21  5.34262E-05  2.17477E-04
  1.425E+01  1.53845E-02  1.39837E-21  4.99366E-05  2.22386E-04
  1.450E+01  1.59262E-02  1.30866E-21  4.67332E-05  2.27040E-04
  1.475E+01  1.64770E-02  1.22619E-21  4.37881E-05  2.31594E-04
  1.500E+01  1.70371E-02  1.15026E-21  4.10764E-05  2.35969E-04
  1.525E+01  1.76063E-02  1.08024E-21  3.85760E-05  2.40142E-04
  1.550E+01  1.81848E-02  1.01559E-21  3.62674E-05  2.44236E-04
  1.575E+01  1.87724E-02  9.55820E-22  3.41329E-05  2.47964E-04
  1.600E+01  1.93692E-02  9.00487E-22  3.21570E-05  2.51660E-04
  1.625E+01  1.99751E-02  8.49198E-22  3.03254E-05  2.55050E-04
  1.650E+01  2.05901E-02  8.01601E-22  2.86257E-05  2.58282E-04
  1.675E+01  2.12143E-02  7.57377E-22  2.70464E-05  2.61352E-04
  1.700E+01  2.18476E-02  7.16241E-22  2.55774E-05  2.63958E-04
  1.725E+01  2.24900E-02  6.77933E-22  2.42094E-05  2.66678E-04
  1.750E+01  2.31415E-02  6.42223E-22  2.29342E-05  2.68704E-04
  1.775E+01  2.38021E-02  6.08896E-22  2.17441E-05  2.71024E-04
  1.800E+01  2.44717E-02  5.77766E-22  2.06324E-05  2.72495E-04
  1.825E+01  2.51504E-02  5.48655E-22  1.95928E-05  2.74132E-04
  1.850E+01  2.58382E-02  5.21409E-22  1.86198E-05  2.75137E-04
  1.875E+01  2.65349E-02  4.95882E-22  1.77083E-05  2.76129E-04
  1.900E+01  2.72407E-02  4.71945E-22  1.68535E-05  2.76690E-04
  1.925E+01  2.79555E-02  4.49480E-22  1.60512E-05  2.76914E-04
  1.950E+01  2.86793E-02  4.28377E-22  1.52976E-05  2.76916E-04
  1.975E+01  2.94120E-02  4.08536E-22  1.45891E-05  2.76514E-04
  2.000E+01  3.01537E-02  3.89868E-22  1.39224E-05  2.75951E-04
  2.025E+01  3.09043E-02  3.72288E-22  1.32947E-05  2.74951E-04
  2.050E+01  3.16639E-02  3.55721E-22  1.27030E-05  2.73643E-04
  2.075E+01  3.24324E-02  3.40095E-22  1.21450E-05  2.71993E-04
  2.100E+01  3.32098E-02  3.25347E-22  1.16184E-05  2.70001E-04
  2.125E+01  3.39961E-02  3.11417E-22  1.11209E-05  2.67706E-04
  2.150E+01  3.47912E-02  2.98250E-22  1.06507E-05  2.64956E-04
  2.175E+01  3.55952E-02  2.85796E-22  1.02060E-05  2.61831E-04
  2.200E+01  3.64081E-02  2.74008E-22  9.78500E-06  2.58316E-04
  2.225E+01  3.72297E-02  2.62843E-22  9.38630E-06  2.54455E-04
  2.250E+01  3.80602E-02  2.52262E-22  9.00843E-06  2.50221E-04
  2.275E+01  3.88995E-02  2.42227E-22  8.65007E-06  2.45541E-04
  2.300E+01  3.97476E-02  2.32704E-22  8.31002E-06  2.40485E-04
  2.325E+01  4.06044E-02  2.23662E-22  7.98713E-06  2.35065E-04
  2.350E+01  4.14700E-02  2.15072E-22  7.68035E-06  2.29313E-04
  2.375E+01  4.23443E-02  2.06905E-22  7.38872E-06  2.23163E-04
  2.400E+01  4.32273E-02  1.99138E-22  7.11134E-06  2.16570E-04
  2.425E+01  4.41190E-02  1.91745E-22  6.84734E-06  2.09574E-04
  2.450E+01  4.50194E-02  1.84706E-22  6.59596E-06  2.02185E-04
  2.475E+01  4.59284E-02  1.77999E-22  6.35646E-06  0.00000E+00
  2.500E+01  4.68461E-02  1.71606E-22  6.12815E-06  0.00000E+00
  2.550E+01  4.87074E-02  1.59690E-22  5.70265E-06  0.00000E+00
  2.600E+01  5.06030E-02  1.48831E-22  5.31484E-06  0.00000E+00
  2.650E+01  5.25328E-02  1.38914E-22  4.96071E-06  0.00000E+00
  2.700E+01  5.44967E-02  1.29842E-22  4.63675E-06  0.00000E+00
  2.750E+01  5.64946E-02  1.21528E-22  4.33984E-06  0.00000E+00
  2.800E+01  5.85262E-02  1.13895E-22  4.06728E-06  0.00000E+00
  2.850E+01  6.05914E-02  1.06877E-22  3.81664E-06  0.00000E+00
  2.900E+01  6.26901E-02  1.00412E-22  3.58579E-06  0.00000E+00
  2.950E+01  6.48222E-02  9.44495E-23  3.37285E-06  0.00000E+00
  3.000E+01  6.69873E-02  8.89410E-23  3.17614E-06  0.00000E+00
  3.050E+01  6.91854E-02  8.38449E-23  2.99415E-06  0.00000E+00
  3.100E+01  7.14163E-02  7.91237E-23  2.82556E-06  0.00000E+00
  3.150E+01  7.36799E-02  7.47442E-23  2.66916E-06  0.00000E+00
  3.200E+01  7.59760E-02  7.06761E-23  2.52389E-06  0.00000E+00
  3.250E+01  7.83043E-02  6.68927E-23  2.38878E-06 -2.74265E-04
