 #
 # Subroutine MOTTSC. Elastic scattering of electrons and positrons
 #                    by unscreened Coulomb fields
 #
 # Projectile: electron
 # Kinetic energy = 1.00000E+07 eV = 3.67493E+05 a.u.
 #
 # Z =  47
 #
 # Differential cross section      MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS       McKinl-Fesh    error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)   (a0**2/sr)
 #-----------------------------------------------------------------------
  3.000E-01  6.85388E-06  2.22118E-15  7.93199E+01  7.93867E+01   1.0E+00
  3.250E-01  8.04378E-06  1.61290E-15  5.75976E+01  5.76501E+01   1.0E+00
  3.500E-01  9.32888E-06  1.19933E-15  4.28289E+01  4.28709E+01   1.0E+00
  3.750E-01  1.07092E-05  9.10243E-16  3.25054E+01  3.25394E+01   1.0E+00
  4.000E-01  1.21846E-05  7.03257E-16  2.51137E+01  2.51418E+01   1.0E+00
  4.250E-01  1.37553E-05  5.51911E-16  1.97091E+01  1.97324E+01   1.0E+00
  4.500E-01  1.54212E-05  4.39184E-16  1.56835E+01  1.57032E+01   1.0E+00
  4.750E-01  1.71822E-05  3.53829E-16  1.26354E+01  1.26521E+01   1.0E+00
  5.000E-01  1.90385E-05  2.88175E-16  1.02909E+01  1.03076E+01   3.0E-05
  5.250E-01  2.09899E-05  2.37194E-16  8.47034E+00  8.48205E+00   2.6E-05
  5.500E-01  2.30365E-05  1.96992E-16  7.03472E+00  7.04349E+00   1.3E-05
  5.750E-01  2.51783E-05  1.64939E-16  5.89007E+00  5.89749E+00   2.0E-06
  6.000E-01  2.74153E-05  1.39132E-16  4.96848E+00  4.97546E+00   1.3E-05
  6.250E-01  2.97475E-05  1.18172E-16  4.22002E+00  4.22687E+00   1.8E-05
  6.500E-01  3.21749E-05  1.01016E-16  3.60735E+00  3.61397E+00   1.4E-05
  6.750E-01  3.46974E-05  8.68682E-17  3.10212E+00  3.10830E+00   6.3E-06
  7.000E-01  3.73152E-05  7.51193E-17  2.68256E+00  2.68810E+00   2.9E-06
